title,url,price,primary_image_url,currency,crawl_time,current_price,categories
Google Nexus 6P H1512 ,http://www.expansys.com.sg/google-nexus-6p-h1512-unlocked-32gb-graphite-grey-285868/,SG$774,http://i2.expansys.com/img/p/285868/google-nexus-6p-h1512.jpg,Singaporean Dollar,2016-04-14 12:03:50,SG$774,"Mobile Phones,SIM Free Phones,Android,Marshmallow 6.0"
Motorola MOTO G (3rd Gen.) XT1541 ,http://www.expansys.com.sg/motorola-moto-g-3rd-gen-xt1541-unlocked-16gb-black-288572/,SG$269,http://i1.expansys.com/img/p/288572/motorola-moto-g-3rd-gen-xt1541.jpg,Singaporean Dollar,2016-04-14 12:03:51,SG$269,"Mobile Phones,SIM Free Phones,Android,Lollipop 5.1"
Apple iPhone 6s A1688 ,http://www.expansys.com.sg/apple-iphone-6s-a1688-unlocked-64gb-space-gray-282798/,"SG$1,134",http://i2.expansys.com/img/p/282798/apple-iphone-6s-a1688.jpg,Singaporean Dollar,2016-04-14 12:03:54,"SG$1,134","Mobile Phones,SIM Free Phones,iOS"
B-Stock Plantronics BackBeat Fit Wireless Headphones + Mic ,http://www.expansys.com.sg/b-stock-plantronics-backbeat-fit-wireless-headphones-mic-green-open-box-275546/,SG$88,http://i2.expansys.com/img/p/275546/b-stock-plantronics-backbeat-fit-wireless-headphones-mic.jpg,Singaporean Dollar,2016-04-14 12:04:03,SG$88,"Mobile Phones,Phone Accessories,Headsets & Headphones – Bluetooth"
BlueLounge Sanctuary4 ,http://www.expansys.com.sg/bluelounge-sanctuary4-white-w-micro-usb-cable-257509/,SG$135,http://i2.expansys.com/img/p/257509/bluelounge-sanctuary4.jpg,Singaporean Dollar,2016-04-14 12:04:05,SG$135,"Tablet PCs & iPads,iPad Accessories"
Philips SHQ7300 Bluetooth Sports Stereo Headset ,http://www.expansys.com.sg/philips-shq7300-bluetooth-sports-stereo-headset-orange-white-279398/,SG$104,http://i2.expansys.com/img/p/279398/philips-shq7300-bluetooth-sports-stereo-headset.jpg,Singaporean Dollar,2016-04-14 12:04:06,SG$104,"Tablet PCs & iPads,Tablet Accessories,Headphones & Speakers"
"Apple iPad Pro 9.7"" ",http://www.expansys.com.sg/apple-ipad-pro-97-wifi-32gb-silver-288906/,Price Not Announced,http://i2.expansys.com/img/p/288906/apple-ipad-pro-97.jpg,Singaporean Dollar,2016-04-14 12:04:07,Price Not Announced,"Tablet PCs & iPads,Tablets,iPads"
Ultimate Ears ROLL 360° Wireless Speaker S-00152 ,http://www.expansys.com.sg/ultimate-ears-roll-purple-288806/,SG$139,http://i2.expansys.com/img/p/288806/ultimate-ears-roll.jpg,Singaporean Dollar,2016-04-14 12:04:09,SG$139,"Tablet PCs & iPads,Tablet Accessories,Headphones & Speakers"
Ultimate Ears ROLL 360° Wireless Speaker S-00152 ,http://www.expansys.com.sg/ultimate-ears-roll-orange-288805/,SG$139,http://i2.expansys.com/img/p/288805/ultimate-ears-roll.jpg,Singaporean Dollar,2016-04-14 12:04:09,SG$139,"Tablet PCs & iPads,Tablet Accessories,Headphones & Speakers"
Ultimate Ears ROLL 360° Wireless Speaker S-00152 ,http://www.expansys.com.sg/ultimate-ears-roll-black-288803/,SG$139,http://i1.expansys.com/img/p/288803/ultimate-ears-roll.jpg,Singaporean Dollar,2016-04-14 12:04:10,SG$139,"Tablet PCs & iPads,Tablet Accessories,Headphones & Speakers"
Ultimate Ears BOOM 2 360° Wireless Speaker S-00151 ,http://www.expansys.com.sg/ultimate-ears-boom-2-purple-288802/,SG$264,http://i1.expansys.com/img/p/288802/ultimate-ears-boom-2.jpg,Singaporean Dollar,2016-04-14 12:04:12,SG$264,"Tablet PCs & iPads,Tablet Accessories,Headphones & Speakers"
Ultimate Ears BOOM 2 360° Wireless Speaker S-00151 ,http://www.expansys.com.sg/ultimate-ears-boom-2-red-288800/,SG$264,http://i1.expansys.com/img/p/288800/ultimate-ears-boom-2.jpg,Singaporean Dollar,2016-04-14 12:04:13,SG$264,"Tablet PCs & iPads,Tablet Accessories,Headphones & Speakers"
Ultimate Ears BOOM 2 360° Wireless Speaker ,http://www.expansys.com.sg/ultimate-ears-boom-2-green-288799/,SG$264,http://i2.expansys.com/img/p/288799/ultimate-ears-boom-2.jpg,Singaporean Dollar,2016-04-14 12:04:15,SG$264,"Tablet PCs & iPads,Tablet Accessories,Headphones & Speakers"
