title,url,price,primary_image_url,currency,crawl_time,current_price,categories
Samsung Galaxy S7 edge Dual-SIM SM-G9350 ,http://www.expansys.com.sg/samsung-galaxy-s7-edge-unlocked-32gb-gold-platinum-288262/,"SG$1,044",http://i1.expansys.com/img/p/288262/samsung-galaxy-s7-edge.jpg,Singaporean Dollar,2016-04-12 17:03:51,"SG$1,044","Mobile Phones,Dual SIM Phones"
Samsung Galaxy S7 Dual SIM SM-G930FD ,http://www.expansys.com.sg/samsung-galaxy-s7-unlocked-32gb-gold-platinum-288138/,SG$904,http://i2.expansys.com/img/p/288138/samsung-galaxy-s7.jpg,Singaporean Dollar,2016-04-12 17:03:52,SG$904,"Mobile Phones,Dual SIM Phones"
"ASUS ZenFone 2 Laser 6"" Dual-SIM ZE601KL ",http://www.expansys.com.sg/asus-zenfone-2-laser-6-dual-sim-ze601kl-unlocked-32gb-sheer-gold-285976/,SG$394,http://i2.expansys.com/img/p/285976/asus-zenfone-2-laser-6-dual-sim-ze601kl.jpg,Singaporean Dollar,2016-04-12 17:03:54,SG$394,"Mobile Phones,Dual SIM Phones"
Apple iPhone 6s A1688 ,http://www.expansys.com.sg/apple-iphone-6s-unlocked-16gb-gold-282803/,SG$974,http://i1.expansys.com/img/p/282803/apple-iphone-6s.jpg,Singaporean Dollar,2016-04-12 17:03:56,SG$974,"Mobile Phones,SIM Free Phones,iOS"
ASUS ZenFone Selfie Dual SIM - ZD551KL ,http://www.expansys.com.sg/asus-zenfone-selfie-dual-sim-zd551kl-unlocked-lte-32gb-chic-pink-282155/,SG$339,http://i2.expansys.com/img/p/282155/asus-zenfone-selfie-dual-sim-zd551kl.jpg,Singaporean Dollar,2016-04-12 17:03:57,SG$339,"Mobile Phones,Dual SIM Phones"
Apple iPhone SE A1723 ,http://www.expansys.com.sg/apple-iphone-se-a1723-unlocked-16gb-rose-gold-288845/,SG$669,http://i2.expansys.com/img/p/288845/apple-iphone-se-a1723.jpg,Singaporean Dollar,2016-04-12 17:03:58,SG$669,"Mobile Phones,SIM Free Phones,iOS"
Parrot Control pad ,http://www.expansys.com.sg/parrot-control-pad-for-mki-bluetooth-hands-free-car-kits-175953/,SG$55,http://i1.expansys.com/img/p/175953/parrot-control-pad.jpg,Singaporean Dollar,2016-04-12 17:03:58,SG$55,"Mobile Phones,Phone Accessories,Repairs & Spare Parts"
"ASUS ZenFone 2 Laser 6"" Dual-SIM ZE601KL ",http://www.expansys.com.sg/asus-zenfone-2-laser-6-dual-sim-ze601kl-unlocked-32gb-glamour-red-285977/,SG$394,http://i2.expansys.com/img/p/285977/asus-zenfone-2-laser-6-dual-sim-ze601kl.jpg,Singaporean Dollar,2016-04-12 17:04:00,SG$394,"Mobile Phones,Dual SIM Phones"
ASUS ZenFone Selfie Dual SIM - ZD551KL ,http://www.expansys.com.sg/asus-zenfone-selfie-dual-sim-zd551kl-unlocked-lte-32gb-pure-white-282026/,SG$329,http://i2.expansys.com/img/p/282026/asus-zenfone-selfie-dual-sim-zd551kl.jpg,Singaporean Dollar,2016-04-12 17:04:00,SG$329,"Mobile Phones,Dual SIM Phones"
Logitech Bluetooth Multi-Device Keyboard K480 ,http://www.expansys.com.sg/logitech-k480-bluetooth-multi-device-keyboard-white-286963/,SG$69,http://i1.expansys.com/img/p/286963/logitech-k480-bluetooth-multi-device-keyboard.jpg,Singaporean Dollar,2016-04-12 17:04:03,SG$69,"Tablet PCs & iPads,Tablet Accessories,Keyboards"
Logitech 65-Key Bluetooth v3.0 Tablet Keyboard- Refurbished ,http://www.expansys.com.sg/logitech-65-key-bluetooth-v3-0-tablet-keyboard-refurbished-windows-8-rt-android-30-carrying-case-and-280940/,SG$47,http://i1.expansys.com/img/p/280940/logitech-65-key-bluetooth-v3-0-tablet-keyboard-refurbished.jpg,Singaporean Dollar,2016-04-12 17:04:03,SG$47,"Tablet PCs & iPads,Tablet Accessories,Keyboards"
Motorola Shell for Motorola Moto E ,http://www.expansys.com.sg/motorola-shell-for-motorola-moto-e-lemon-lime-261369/,,http://i2.expansys.com/img/p/261369/motorola-shell-for-motorola-moto-e.jpg,Singaporean Dollar,2016-04-12 17:04:04,,"Mobile Phones,Phone Accessories,Cases & Covers"
innerexile Capsule 4.2 A Dual ports car charger ,http://www.expansys.com.sg/innerexile-capsule-42a-dual-ports-car-charger-red-266673/,SG$47,http://i1.expansys.com/img/p/266673/innerexile-capsule-42a-dual-ports-car-charger.jpg,Singaporean Dollar,2016-04-12 17:04:05,SG$47,"Tablet PCs & iPads,Tablet Accessories,Car Kits"
LG 360 VR ,http://www.expansys.com.sg/lg-360-vr-titanium-silver-289389/,SG$454,http://i2.expansys.com/img/p/289389/lg-360-vr.jpg,Singaporean Dollar,2016-04-12 17:04:06,SG$454,"Mobile Phones,Phone Accessories,Accessory Packs"
Martin Fields Screen Protector for Samsung Galaxy S4 Mini ,http://www.expansys.com.sg/martin-fields-screen-protector-for-samsung-galaxy-s4-mini-single-pack-251597/,SG$1,http://i2.expansys.com/img/p/251597/martin-fields-screen-protector-for-samsung-galaxy-s4-mini.jpg,Singaporean Dollar,2016-04-12 17:04:09,SG$1,"Mobile Phones,Phone Accessories,Screen Protectors & Cleaning"
LG CAM Plus ,http://www.expansys.com.sg/lg-cam-plus-silver-289306/,SG$121,http://i2.expansys.com/img/p/289306/lg-cam-plus.jpg,Singaporean Dollar,2016-04-12 17:04:09,SG$121,"Mobile Phones,Phone Accessories,Accessory Packs"
Martin Fields Screen Protector for HTC Desire 600 ,http://www.expansys.com.sg/martin-fields-screen-protector-for-htc-desire-600-single-pack-251591/,SG$1,http://i1.expansys.com/img/p/251591/martin-fields-screen-protector-for-htc-desire-600.jpg,Singaporean Dollar,2016-04-12 17:04:12,SG$1,"Mobile Phones,Phone Accessories,Screen Protectors & Cleaning"
CAPDASE ScreenGuard - Aris for Samsung Galaxy Core ,http://www.expansys.com.sg/capdase-screenguard-aris-for-samsung-galaxy-core-crystal-clear-251516/,SG$1,http://i2.expansys.com/img/p/251516/capdase-screenguard-aris-for-samsung-galaxy-core.jpg,Singaporean Dollar,2016-04-12 17:04:12,SG$1,"Mobile Phones,Phone Accessories,Screen Protectors & Cleaning"
Momax Screen Protector for ASUS FonePad ,http://www.expansys.com.sg/momax-screen-protector-for-asus-fonepad-crystal-clear-251409/,SG$1,http://i2.expansys.com/img/p/251409/momax-screen-protector-for-asus-fonepad.jpg,Singaporean Dollar,2016-04-12 17:04:13,SG$1,"Mobile Phones,Phone Accessories,Screen Protectors & Cleaning"
Momax Screen Protector for LG Optimus G Pro ,http://www.expansys.com.sg/momax-screen-protector-for-lg-optimus-g-pro-crystal-clear-251410/,SG$1,http://i1.expansys.com/img/p/251410/momax-screen-protector-for-lg-optimus-g-pro.jpg,Singaporean Dollar,2016-04-12 17:04:14,SG$1,"Mobile Phones,Phone Accessories,Screen Protectors & Cleaning"
AT Screen Guard  for HTC Butterfly S ,http://www.expansys.com.sg/at-screen-guard-for-htc-butterfly-s-crystal-clear-251405/,SG$1,http://i2.expansys.com/img/p/251405/at-screen-guard-for-htc-butterfly-s.jpg,Singaporean Dollar,2016-04-12 17:04:16,SG$1,"Mobile Phones,Phone Accessories,Screen Protectors & Cleaning"
AT Screen Guard  for Galaxy S4 Mini ,http://www.expansys.com.sg/at-screen-guard-for-samsung-galaxy-s4-mini-anti-fingerprint-crystal-clear-251404/,SG$1,http://i1.expansys.com/img/p/251404/at-screen-guard-for-samsung-galaxy-s4-mini.jpg,Singaporean Dollar,2016-04-12 17:04:16,SG$1,"Mobile Phones,Phone Accessories,Screen Protectors & Cleaning"
AT Screen Guard  for Samsung Galaxy S4 Mini ,http://www.expansys.com.sg/at-screen-guard-for-samsung-galaxy-s4-mini-crystal-clear-251403/,SG$1,http://i1.expansys.com/img/p/251403/at-screen-guard-for-samsung-galaxy-s4-mini.jpg,Singaporean Dollar,2016-04-12 17:04:18,SG$1,"Mobile Phones,Phone Accessories,Screen Protectors & Cleaning"
